data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,precip_total
2024-01-21,202404,4891,4891,4891,4891,3304557,1,73.816956,0,4,330455720240420100,2025-01-28,1.6085827,Rio de Janeiro,6625849,21.8847285714286,93.3217571428571,1,1,2,85.9115142857143,76.7569857142857,23.7086571428571,25.7708857142857,3156,NA,NA,NA,NA,399.1425
2024-01-28,202405,7982,7982,7982,7982,3304557,1,120.46758,0,4,330455720240520100,2025-02-04,1.9978906,Rio de Janeiro,6625849,22.7977571428571,94.3458428571429,1,1,2,82.2012,64.3737571428571,25.6826285714286,29.7274571428571,5196,NA,NA,NA,NA,115.4267
2024-02-04,202406,10068,10068,NA,10068,3304557,1,151.95033,0,4,330455720240620160,2025-02-11,1.8241075,Rio de Janeiro,6625849,23.4196285714286,94.0718428571429,1,1,2,78.882,61.0074714285714,26.6648571428571,30.6637571428571,8046,NA,NA,NA,NA,44.1902
2024-02-11,202407,13539,13539,NA,13539,3304557,1,204.33607,0,4,330455720240720100,2025-02-18,1.7460179,Rio de Janeiro,6625849,24.0546142857143,89.3992285714286,1,1,2,76.5744714285714,60.5301285714286,26.9117714285714,30.7361428571429,12358,NA,NA,NA,NA,129.07739999999998
2024-02-18,202408,16339,16339,NA,16339,3304557,1,246.59482,0,4,330455720240820160,2025-02-26,1.5729148,Rio de Janeiro,6625849,23.9167571428571,91.8427142857143,1,1,2,81.7803285714286,66.3558714285714,26.2614,29.9673857142857,15067,NA,NA,NA,NA,134.1101
2024-02-25,202409,14550,14550,NA,14550,3304557,1,219.5945,0,4,330455720240920100,2025-03-06,1.1166737,Rio de Janeiro,6625849,24.4299142857143,92.0358428571429,1,1,2,80.6158285714286,65.5541428571429,26.9634285714286,30.299,13305,NA,NA,NA,NA,52.514
2024-03-03,202410,11999,11999,NA,11999,3304557,0,181.09378,0,4,330455720241020160,2025-03-11,0.8250993,Rio de Janeiro,6625849,22.7226285714286,93.7982571428571,1,0,2,79.9846714285714,62.8002142857143,25.9607571428571,29.8014285714286,11136,NA,NA,NA,NA,86.3614
2024-03-10,202411,10154,10154,NA,10154,3304557,0,153.24829,0,4,330455720241120200,2025-03-18,0.7259868,Rio de Janeiro,6625849,23.1251857142857,94.556,1,0,2,79.3174857142857,61.7723571428571,26.5092285714286,30.3423142857143,9430,NA,NA,NA,NA,40.3248
2024-03-17,202412,7593,7593,7593,7593,3304557,0,114.596634,0,4,330455720241220160,2025-03-24,0.6266078,Rio de Janeiro,6625849,24.7415857142857,90.9787571428571,1,0,2,78.3295142857143,61.4830857142857,27.6923571428571,31.4456285714286,7048,NA,NA,NA,NA,261.9597
2024-03-24,202413,4105,4105,4105,4105,3304557,0,61.954323,0,4,330455720241320200,2025-04-01,0.41577402,Rio de Janeiro,6625849,22.2580285714286,95.2120428571429,1,0,2,88.3357,76.5698571428571,23.5867571428571,25.4453,3830,NA,NA,NA,NA,253.3453
